대여일시,대여건수,평균기온,일강수량,미세먼지(pm10),강수여부
02-01,72476,0.9,0,63,0
02-02,70755,-2.4,0,50,0
02-03,72693,-1.6,0,43,0
02-04,57939,-0.2,0,39,0
02-05,53806,1.7,0,63,0
02-06,81306,3,0,70,0
02-07,86528,3.5,0,74,0
02-08,86848,2.1,0,68,0
02-09,89612,4,0,35,0
02-10,68845,3.8,0.6,21,0
02-11,70625,2.8,0,41,0
02-12,60692,3.7,0,67,0
02-13,91952,5.9,0,31,0
02-14,89966,1.7,0,42,0
02-15,94666,3.2,0,18,0
02-16,87394,2.3,0,26,0
02-17,95472,3.4,0,40,0
02-18,72419,5.7,0,76,0
02-19,57600,3.5,0.4,39,0
02-20,75725,-0.5,0,46,0
02-21,81584,-1.3,0,34,0
02-22,90322,1.2,0,40,0
02-23,94719,2.9,0,39,0
02-24,92586,3.5,0,44,0
02-25,68023,0.7,0,42,0
02-26,66858,2.2,0,38,0
02-27,97898,4.4,0,47,0
02-28,102196,4.3,0,33,0
03-01,79638,6,0,33,0
03-02,95453,2.2,0,61,0
03-03,107215,4.6,0,44,0
03-04,97286,7.7,0,65,0
03-05,95137,8,0,61,0
03-06,121403,9.2,0,49,0
03-07,132494,11.7,0,59,0
03-08,126428,12.5,1.2,61,0
03-09,109299,10.3,3.7,59,0
03-10,138823,13.5,0,96,0
03-11,129567,15.2,0,104,0
03-12,40919,5.9,5.6,54,0
03-13,103769,2.9,0,40,0
03-14,130020,9.2,0,47,0
03-15,123017,8.6,0,55,0
03-16,118553,4.6,0,71,0
03-17,128106,7.2,0,46,0
03-18,114617,7.7,0,66,0
03-19,110627,8.3,0,98,0
03-20,131591,9.5,0,78,0
03-21,150433,13,0,55,0
03-22,154551,17,0,63,0
03-23,146757,17.4,0,129,0
03-24,149034,12.5,0,161,0
03-25,136959,12.5,0,117,0
03-26,121288,9.4,0,68,0
03-27,137985,7.3,0,51,0
03-28,151848,9.2,0,66,0
03-29,161395,11.8,0,71,0
03-30,167433,13.3,0,91,0
03-31,173890,15,0,103,0
04-01,171977,17.5,0,88,0
04-02,172417,18.8,0,52,0
04-03,181275,19,0,52,0
04-04,136861,17.6,6.9,32,0
04-06,62143,8.8,2.7,63,0
04-07,140643,8.9,0,93,0
04-08,131981,8.8,0,46,0
04-09,131332,10.8,0,67,0
04-10,163117,13.2,0,48,0
04-11,105357,13.1,2.9,68,0
04-12,143620,10.1,0,333,0
04-13,148980,11.9,0,226,0
04-14,167790,16.2,0,109,0
04-15,97305,13.5,4.6,61,0
04-16,112187,10.8,0,118,0
04-17,160891,13.1,0,117,0
04-18,106064,14,1.5,55,0
04-19,180747,19.1,0,44,0
04-20,150795,15.8,0.5,15,0
04-21,177951,16.7,0,64,0
04-22,158022,16.9,0,62,0
04-23,140444,16.1,0,59,0
04-24,170623,15.8,0,60,0
04-25,88208,10.9,0.4,31,0
04-26,153562,10.2,0,28,0
04-27,174520,12.9,0,43,0
04-28,165729,15.7,1.9,38,0
04-29,51329,13.2,25.1,25,1
04-30,113123,12.7,0.1,47,0
05-01,169163,14.6,0,54,0
05-02,181358,16.7,0,39,0
05-03,191700,19.5,0,47,0
05-04,177946,21.4,0,48,0
05-07,122748,14.4,0,36,0
05-08,178650,15.3,0,42,0
05-09,186373,17,0,57,0
05-10,188820,18.4,0,59,0
05-11,188666,19.5,0,51,0
05-12,191294,18.4,0,52,0
05-13,164530,17.8,0,38,0
05-14,159839,18.1,0,25,0
05-15,191110,20.6,0,38,0
05-16,191713,24,0,62,0
05-17,193524,23.5,0,37,0
05-18,175236,21.2,1.3,33,0
05-19,350052,22.3,0,24,0
05-20,170201,21.2,0,28,0
05-21,146665,17.8,0.2,89,0
05-22,178834,20.3,0,148,0
05-23,199093,20.5,0,67,0
05-24,197705,20.6,0,40,0
05-25,194905,21.2,0,37,0
05-26,195431,21.4,0.5,35,0
05-27,31642,19.3,31.8,26,1
05-28,4992,19.2,41.8,11,1
05-29,142076,23.2,2.3,19,0
05-30,188617,24,0,34,0
05-31,196321,22.8,0,31,0
06-01,199164,22.8,0,38,0
06-02,201999,20.4,0,29,0
06-03,170766,22,0,38,0
06-04,155376,22.1,0,39,0
06-05,194306,21.5,0,32,0
06-06,167366,20.3,0,22,0
06-07,196585,21.4,0,37,0
06-08,169188,20.4,1.9,22,0
06-10,141922,23.2,0.8,34,0
06-11,131271,22.1,32.2,24,1
06-12,183371,22.2,0,29,0
06-13,353584,22,0,27,0
06-14,189563,20.6,30.6,26,1
06-15,199265,22.7,0,30,0
06-16,200404,23.7,0,25,0
06-17,164879,24.2,0,21,0
06-18,140332,25.9,0,26,0
06-19,181878,28.5,0,50,0
06-20,161787,24.7,6.4,36,0
06-21,93551,20.5,24.9,11,1
06-22,192382,22.5,0,23,0
06-23,196517,24.4,0,33,0
06-24,155928,26.4,0,39,0
06-25,133566,28.2,0,32,0
06-26,59288,24.2,30.3,16,1
06-27,179792,25.3,2.5,18,0
06-28,185929,26.5,0,33,0
06-29,35326,24.2,63.8,33,1
06-30,155252,25.3,1,33,0
07-01,157478,26.6,0,20,0
07-02,131815,28.8,0,29,0
